Date	Time	X	Y	Z	r_KA	Vx	Vy	Vz	V_KA	???? ??????? ??.
2021-Feb-01 00:57:57.593	0	314842	193258	42825	10000	-1.0941	0.515764	-0.352739	0.726643	-nan(ind)
2021-Feb-01 01:05:57.593	480	320916	182352	42657.9	10000.4	-1.06591	0.534275	-0.343689	0.72662	0.139877
2021-Feb-01 01:07:57.593	600	322376	179594	42616.8	10000.7	-1.05875	0.538753	-0.341442	0.726606	0.174841
2021-Feb-01 01:13:57.593	960	326617	171248	42495.1	10001.7	-1.03704	0.551819	-0.334738	0.726544	0.27968
2021-Feb-01 01:17:57.593	1200	329326	165626	42415.3	10002.7	-1.02236	0.560221	-0.330302	0.726485	0.34951
2021-Feb-01 01:21:57.593	1440	331939	159959	42336.5	10003.8	-1.00754	0.568372	-0.325896	0.726413	0.419273
2021-Feb-01 01:27:57.593	1800	335678	151378	42220.4	10006	-0.985014	0.580124	-0.319345	0.72628	0.523755
2021-Feb-01 01:29:57.593	1920	336876	148497	42182.2	10006.8	-0.977435	0.583912	-0.317177	0.726228	0.558531
2021-Feb-01 01:37:57.593	2400	341423	136877	42032	10010.6	-0.946772	0.598417	-0.308592	0.72599	0.697332
2021-Feb-01 01:45:57.593	2880	345574	125110	41885.9	10015.3	-0.915588	0.611868	-0.300154	0.725699	0.835551
2021-Feb-01 01:47:57.593	3000	346549	122147	41850	10016.6	-0.907716	0.615063	-0.298069	0.725618	0.870001
2021-Feb-01 01:57:57.593	3600	351048	107216	41674.3	10023.8	-0.867924	0.630026	-0.287796	0.725163	1.04152
2021-Feb-01 02:07:57.593	4200	354913	92109.6	41504.6	10032.4	-0.827478	0.643272	-0.277795	0.724626	1.21165
2021-Feb-01 02:17:57.593	4800	358135	76855.3	41340.9	10042.2	-0.786462	0.654775	-0.268087	0.724008	1.38016
2021-Feb-01 02:27:57.593	5400	360711	61480.1	41182.8	10053.3	-0.744962	0.664508	-0.258691	0.723311	1.54681
2021-Feb-01 02:37:57.593	6000	362635	46011.5	41030.4	10065.6	-0.703066	0.672453	-0.249626	0.722535	1.71137
2021-Feb-01 02:47:57.593	6600	363903	30477.1	40883.2	10079.2	-0.660861	0.678592	-0.240907	0.721683	1.87361
2021-Feb-01 02:57:57.593	7200	364515	14904.6	40741.2	10094	-0.61844	0.682914	-0.232552	0.720755	2.03331
2021-Feb-01 03:07:57.593	7800	364469	-678.259	40604.1	10109.9	-0.575892	0.685412	-0.224574	0.719753	2.19025
2021-Feb-01 03:17:57.593	8400	363765	-16243.7	40471.6	10127	-0.533309	0.686082	-0.216987	0.718679	2.3442
2021-Feb-01 03:27:57.593	9000	362404	-31764	40343.6	10145.1	-0.490783	0.684925	-0.209804	0.717536	2.49497
2021-Feb-01 03:37:57.593	9600	360390	-47211.5	40219.8	10164.4	-0.448406	0.681949	-0.203034	0.716324	2.64234
2021-Feb-01 03:47:57.593	10200	357725	-62558.7	40099.9	10184.8	-0.406269	0.677162	-0.196687	0.715047	2.78611
2021-Feb-01 03:57:57.593	10800	354415	-77778.2	39983.7	10206.1	-0.364464	0.670579	-0.190771	0.713706	2.92608
2021-Feb-01 04:07:57.593	11400	350465	-92842.9	39870.9	10228.5	-0.32308	0.66222	-0.185293	0.712304	3.06206
2021-Feb-01 04:17:57.593	12000	345883	-107726	39761.2	10251.8	-0.282208	0.652108	-0.180257	0.710843	3.19387
2021-Feb-01 04:27:57.593	12600	340677	-122401	39654.5	10276	-0.241933	0.640271	-0.175669	0.709325	3.32132
2021-Feb-01 04:37:57.593	13200	334856	-136842	39550.4	10301.1	-0.202343	0.62674	-0.171531	0.707754	3.44424
2021-Feb-01 04:47:57.593	13800	328431	-151022	39448.6	10327	-0.16352	0.611552	-0.167845	0.706132	3.56247
2021-Feb-01 04:57:57.593	14400	321413	-164917	39348.8	10353.7	-0.125548	0.594745	-0.164611	0.704461	3.67585
2021-Feb-01 05:07:57.593	15000	313814	-178502	39250.9	10381.2	-0.0885052	0.576364	-0.161828	0.702745	3.78421
2021-Feb-01 05:17:57.593	15600	305649	-191753	39154.6	10409.4	-0.0524686	0.556456	-0.159496	0.700986	3.88742
2021-Feb-01 05:27:57.593	16200	296931	-204646	39059.5	10438.2	-0.0175123	0.535071	-0.15761	0.699186	3.98533
2021-Feb-01 05:37:57.593	16800	287677	-217157	38965.3	10467.6	0.0162926	0.512262	-0.156167	0.697349	4.07781
2021-Feb-01 05:47:57.593	17400	277902	-229266	38872	10497.7	0.0488781	0.488088	-0.155164	0.695478	4.16473
2021-Feb-01 05:57:57.593	18000	267624	-240949	38779.1	10528.2	0.0801796	0.462606	-0.154593	0.693576	4.24597
2021-Feb-01 06:07:57.593	18600	256863	-252186	38686.4	10559.3	0.110136	0.435881	-0.15445	0.691644	4.32143
2021-Feb-01 06:17:57.593	19200	245635	-262958	38593.6	10590.8	0.138689	0.407977	-0.154726	0.689687	4.39101
2021-Feb-01 06:27:57.593	19800	233963	-273244	38500.6	10622.6	0.165785	0.37896	-0.155415	0.687707	4.45459
2021-Feb-01 06:37:57.593	20400	221866	-283026	38407.1	10654.8	0.191373	0.348902	-0.156509	0.685708	4.5121
2021-Feb-01 06:47:57.593	21000	209366	-292287	38312.7	10687.4	0.215407	0.317871	-0.157998	0.683691	4.56346
2021-Feb-01 06:57:57.593	21600	196485	-301010	38217.4	10720.1	0.237844	0.285942	-0.159873	0.68166	4.60859
2021-Feb-01 07:07:57.593	22200	183247	-309179	38120.8	10753.1	0.258646	0.253189	-0.162124	0.679618	4.64743
2021-Feb-01 07:17:57.593	22800	169675	-316780	38022.8	10786.2	0.277777	0.219687	-0.164742	0.677568	4.67992
2021-Feb-01 07:27:57.593	23400	155793	-323799	37923	10819.4	0.295205	0.185513	-0.167716	0.675513	4.70602
2021-Feb-01 07:37:57.593	24000	141626	-330223	37821.4	10852.7	0.310905	0.150745	-0.171036	0.673454	4.72568
2021-Feb-01 07:47:57.593	24600	127199	-336041	37717.7	10886	0.324853	0.11546	-0.17469	0.671396	4.73888
2021-Feb-01 07:57:57.593	25200	112539	-341242	37611.7	10919.2	0.33703	0.0797383	-0.178668	0.669341	4.74558
2021-Feb-01 08:07:57.593	25800	97670.5	-345817	37503.3	10952.4	0.34742	0.0436575	-0.182957	0.667292	4.74578
2021-Feb-01 08:17:57.593	26400	82621.1	-349757	37392.1	10985.4	0.356011	0.00729716	-0.187548	0.665251	4.73947
2021-Feb-01 08:27:57.593	27000	67417.5	-353056	37278.1	11018.3	0.362797	-0.0292637	-0.192429	0.663221	4.72664
2021-Feb-01 08:37:57.593	27600	52087	-355706	37161.2	11051	0.367773	-0.0659462	-0.197587	0.661205	4.70732
2021-Feb-01 08:47:57.593	28200	36656.9	-357704	37041	11083.4	0.370939	-0.102672	-0.203013	0.659205	4.68151
2021-Feb-01 08:57:57.593	28800	21154.9	-359045	36917.5	11115.6	0.372299	-0.139363	-0.208694	0.657224	4.64925
2021-Feb-01 09:07:57.593	29400	5608.77	-359727	36790.5	11147.3	0.371859	-0.175943	-0.214619	0.655265	4.61057
2021-Feb-01 09:17:57.593	30000	-9953.56	-359748	36659.9	11178.7	0.369629	-0.212335	-0.220776	0.653329	4.56551
2021-Feb-01 09:27:57.593	30600	-25504.2	-359108	36525.5	11209.7	0.365624	-0.248463	-0.227156	0.65142	4.51412
2021-Feb-01 09:37:57.593	31200	-41015.2	-357809	36387.3	11240.3	0.359861	-0.284254	-0.233746	0.649539	4.45648
2021-Feb-01 09:47:57.593	31800	-56458.7	-355851	36245	11270.3	0.35236	-0.319634	-0.240536	0.647688	4.39263
2021-Feb-01 09:57:57.593	32400	-71807.1	-353239	36098.6	11299.8	0.343144	-0.354533	-0.247516	0.645871	4.32268
2021-Feb-01 10:07:57.593	33000	-87032.6	-349978	35947.9	11328.7	0.33224	-0.388879	-0.254673	0.64409	4.24669
2021-Feb-01 10:17:57.593	33600	-102108	-346072	35793	11357	0.319678	-0.422605	-0.261999	0.642345	4.16476
2021-Feb-01 10:27:57.593	34200	-117006	-341528	35633.5	11384.7	0.305489	-0.455644	-0.269482	0.640641	4.077
2021-Feb-01 10:37:57.593	34800	-131699	-336355	35469.5	11411.6	0.289709	-0.487931	-0.277114	0.638977	3.98352
2021-Feb-01 10:47:57.593	35400	-146163	-330561	35300.9	11437.9	0.272374	-0.519402	-0.284883	0.637358	3.88443
2021-Feb-01 10:57:57.593	36000	-160369	-324157	35127.7	11463.4	0.253526	-0.549998	-0.29278	0.635783	3.77986
2021-Feb-01 11:07:57.593	36600	-174293	-317153	34949.6	11488.2	0.233206	-0.579658	-0.300796	0.634256	3.66995
2021-Feb-01 11:17:57.593	37200	-187909	-309563	34766.7	11512.2	0.211459	-0.608325	-0.308921	0.632779	3.55484
2021-Feb-01 11:27:57.593	37800	-201193	-301400	34578.9	11535.3	0.188332	-0.635946	-0.317147	0.631351	3.43467
2021-Feb-01 11:37:57.593	38400	-214121	-292678	34386.1	11557.5	0.163873	-0.662468	-0.325463	0.629977	3.30961
2021-Feb-01 11:47:57.593	39000	-226670	-283412	34188.3	11578.9	0.138134	-0.687841	-0.333862	0.628656	3.17982
2021-Feb-01 11:57:57.593	39600	-238816	-273620	33985.4	11599.4	0.111166	-0.712016	-0.342335	0.627391	3.04547
2021-Feb-01 12:07:57.593	40200	-250538	-263318	33777.5	11618.9	0.0830246	-0.73495	-0.350874	0.626183	2.90674
2021-Feb-01 12:17:57.593	40800	-261814	-252525	33564.4	11637.5	0.0537648	-0.756599	-0.359469	0.625033	2.76382
2021-Feb-01 12:27:57.593	41400	-272624	-241260	33346.1	11655.1	0.023444	-0.776922	-0.368114	0.623943	2.61689
2021-Feb-01 12:37:57.593	42000	-282949	-229543	33122.6	11671.6	-0.00787939	-0.795883	-0.3768	0.622914	2.46616
2021-Feb-01 12:47:57.593	42600	-292769	-217395	32893.9	11687.2	-0.0401455	-0.813446	-0.38552	0.621947	2.31183
2021-Feb-01 12:57:57.593	43200	-302066	-204837	32660	11701.7	-0.0732935	-0.829579	-0.394266	0.621043	2.15411
2021-Feb-01 13:07:57.593	43800	-310824	-191893	32420.8	11715.2	-0.107262	-0.844252	-0.403029	0.620204	1.99321
2021-Feb-01 13:17:57.593	44400	-319027	-178585	32176.4	11727.6	-0.141987	-0.857438	-0.411804	0.619431	1.82936
2021-Feb-01 13:27:57.593	45000	-326660	-164937	31926.6	11738.9	-0.177406	-0.869111	-0.420583	0.618723	1.66278
2021-Feb-01 13:37:57.593	45600	-333708	-150974	31671.7	11749.2	-0.213455	-0.879252	-0.429359	0.618083	1.4937
2021-Feb-01 13:47:57.593	46200	-340159	-136720	31411.4	11758.3	-0.25007	-0.887839	-0.438124	0.61751	1.32236
2021-Feb-01 13:57:57.593	46800	-346001	-122201	31145.9	11766.3	-0.287184	-0.894858	-0.446871	0.617006	1.14899
2021-Feb-01 14:07:57.593	47400	-351222	-107443	30875.2	11773.1	-0.324733	-0.900293	-0.455595	0.616572	0.973833
2021-Feb-01 14:17:57.593	48000	-355815	-92472.4	30599.2	11778.8	-0.362652	-0.904134	-0.464287	0.616207	0.797138
2021-Feb-01 14:27:57.593	48600	-359769	-77316.1	30318	11783.4	-0.400873	-0.906373	-0.472942	0.615912	0.619152
2021-Feb-01 14:37:57.593	49200	-363078	-62001.4	30031.7	11786.8	-0.439333	-0.907004	-0.481553	0.615688	0.440125
2021-Feb-01 14:47:57.593	49800	-365735	-46555.8	29740.2	11789.1	-0.477965	-0.906022	-0.490113	0.615535	0.260308
2021-Feb-01 14:57:57.593	50400	-367735	-31006.8	29443.6	11790.2	-0.516704	-0.903429	-0.498615	0.615453	0.0799521
2021-Feb-01 15:07:57.593	51000	-369074	-15382.6	29141.9	11790.1	-0.555484	-0.899225	-0.507053	0.615443	0.100669
2021-Feb-01 15:17:57.593	51600	-369750	288.88	28835.1	11788.9	-0.594242	-0.893415	-0.515421	0.615504	0.281326
2021-Feb-01 15:27:57.593	52200	-369762	15979.4	28523.4	11786.5	-0.632913	-0.886007	-0.523711	0.615637	0.461748
2021-Feb-01 15:37:57.593	52800	-369108	31660.7	28206.7	11782.9	-0.671433	-0.877009	-0.531918	0.615841	0.641678
2021-Feb-01 15:47:57.593	53400	-367790	47304.7	27885.1	11778.2	-0.70974	-0.866434	-0.540035	0.616116	0.820862
2021-Feb-01 15:57:57.593	54000	-365810	62883.1	27558.7	11772.3	-0.747771	-0.854295	-0.548055	0.616463	0.999042
2021-Feb-01 16:07:57.593	54600	-363171	78367.9	27227.4	11765.3	-0.785465	-0.84061	-0.555972	0.616881	1.17596
2021-Feb-01 16:17:57.593	55200	-359878	93731.3	26891.5	11757.1	-0.822763	-0.825397	-0.563779	0.617369	1.35138
2021-Feb-01 16:27:57.593	55800	-355936	108945	26550.9	11747.8	-0.859603	-0.808677	-0.57147	0.617927	1.52502
2021-Feb-01 16:37:57.593	56400	-351352	123983	26205.8	11737.4	-0.895928	-0.790475	-0.579038	0.618555	1.69666
2021-Feb-01 16:47:57.593	57000	-346135	138817	25856.1	11725.9	-0.931682	-0.770814	-0.586476	0.619252	1.86603
2021-Feb-01 16:57:57.593	57600	-340293	153421	25502	11713.2	-0.966807	-0.749724	-0.593777	0.620017	2.03291
2021-Feb-01 17:07:57.593	58200	-333837	167768	25143.6	11699.5	-1.00125	-0.727233	-0.600935	0.62085	2.19703
2021-Feb-01 17:17:57.593	58800	-326778	181832	24780.9	11684.7	-1.03496	-0.703372	-0.607942	0.62175	2.35818
2021-Feb-01 17:27:57.593	59400	-319129	195588	24414.1	11668.8	-1.06788	-0.678176	-0.614793	0.622716	2.51611
2021-Feb-01 17:37:57.593	60000	-310902	209011	24043.2	11651.9	-1.09996	-0.65168	-0.621479	0.623747	2.6706
2021-Feb-01 17:47:57.593	60600	-302114	222078	23668.4	11633.9	-1.13115	-0.62392	-0.627994	0.624841	2.82143
2021-Feb-01 17:57:57.593	61200	-292779	234764	23289.7	11615	-1.16141	-0.594936	-0.63433	0.625999	2.96836
2021-Feb-01 18:07:57.593	61800	-282914	247046	22907.2	11595	-1.19068	-0.564767	-0.64048	0.627218	3.1112
2021-Feb-01 18:17:57.593	62400	-272537	258903	22521.1	11574.1	-1.21894	-0.533456	-0.646437	0.628498	3.24973
2021-Feb-01 18:27:57.593	63000	-261666	270313	22131.5	11552.3	-1.24612	-0.501046	-0.652193	0.629836	3.38375
2021-Feb-01 18:37:57.593	63600	-250321	281255	21738.5	11529.5	-1.2722	-0.467581	-0.657741	0.631232	3.51306
2021-Feb-01 18:47:57.593	64200	-238521	291709	21342.3	11505.9	-1.29713	-0.433109	-0.663073	0.632684	3.63748
2021-Feb-01 18:57:57.593	64800	-226288	301658	20942.9	11481.4	-1.32087	-0.397676	-0.668181	0.63419	3.75681
2021-Feb-01 19:07:57.593	65400	-213645	311082	20540.5	11456	-1.3434	-0.361332	-0.673058	0.63575	3.87089
2021-Feb-01 19:17:57.593	66000	-200612	319965	20135.3	11429.9	-1.36467	-0.324126	-0.677696	0.63736	3.97954
2021-Feb-01 19:27:57.593	66600	-187215	328290	19727.3	11403	-1.38466	-0.286109	-0.682088	0.63902	4.08261
2021-Feb-01 19:37:57.593	67200	-173477	336044	19316.8	11375.3	-1.40333	-0.247334	-0.686224	0.640726	4.17993
2021-Feb-01 19:47:57.593	67800	-159422	343211	18903.9	11346.9	-1.42065	-0.207853	-0.690097	0.642479	4.27136
2021-Feb-01 19:57:57.593	68400	-145075	349778	18488.8	11317.9	-1.43661	-0.16772	-0.6937	0.644274	4.35676
2021-Feb-01 20:07:57.593	69000	-130463	355735	18071.5	11288.2	-1.45117	-0.12699	-0.697023	0.646111	4.436
2021-Feb-01 20:17:57.593	69600	-115612	361070	17652.4	11257.9	-1.46431	-0.0857182	-0.70006	0.647987	4.50896
2021-Feb-01 20:27:57.593	70200	-100547	365773	17231.5	11227.1	-1.47602	-0.0439616	-0.702802	0.649899	4.57552
2021-Feb-01 20:37:57.593	70800	-85297.3	369837	16809.1	11195.7	-1.48627	-0.00177671	-0.705242	0.651846	4.63558
2021-Feb-01 20:47:57.593	71400	-69888.9	373253	16385.3	11163.9	-1.49504	0.0407788	-0.70737	0.653824	4.68904
2021-Feb-01 20:57:57.593	72000	-54349.8	376016	15960.3	11131.6	-1.50233	0.0836469	-0.709181	0.655832	4.73582
2021-Feb-01 21:07:57.593	72600	-38707.7	378121	15534.3	11098.9	-1.50811	0.126769	-0.710665	0.657867	4.77584
2021-Feb-01 21:17:57.593	73200	-22990.9	379564	15107.6	11065.9	-1.51238	0.170085	-0.711816	0.659925	4.80902
2021-Feb-01 21:27:57.593	73800	-7227.45	380342	14680.2	11032.5	-1.51513	0.213537	-0.712626	0.662006	4.83532
2021-Feb-01 21:37:57.593	74400	8554.35	380454	14252.5	10998.9	-1.51634	0.257064	-0.713087	0.664104	4.85467
2021-Feb-01 21:47:57.593	75000	24326.2	379900	13824.6	10965.1	-1.51602	0.300606	-0.713194	0.666219	4.86705
2021-Feb-01 21:57:57.593	75600	40059.8	378681	13396.7	10931.1	-1.51416	0.344102	-0.712939	0.668346	4.87241
2021-Feb-01 22:07:57.593	76200	55726.9	376799	12969.1	10897	-1.51076	0.387492	-0.712317	0.670483	4.87075
2021-Feb-01 22:17:57.593	76800	71299.5	374257	12542	10862.8	-1.50581	0.430714	-0.71132	0.672627	4.86206
2021-Feb-01 22:27:57.593	77400	86749.6	371061	12115.6	10828.6	-1.49933	0.473708	-0.709944	0.674775	4.84633
2021-Feb-01 22:37:57.593	78000	102050	367216	11690.2	10794.4	-1.4913	0.516412	-0.708183	0.676923	4.82357
2021-Feb-01 22:47:57.593	78600	117172	362729	11265.9	10760.3	-1.48175	0.558765	-0.706033	0.679068	4.79382
2021-Feb-01 22:57:57.593	79200	132090	357608	10843	10726.4	-1.47067	0.600705	-0.70349	0.681208	4.7571
2021-Feb-01 23:07:57.593	79800	146777	351863	10421.8	10692.6	-1.45807	0.642171	-0.70055	0.683338	4.71346
2021-Feb-01 23:17:57.593	80400	161206	345504	10002.4	10659	-1.44397	0.683101	-0.697211	0.685455	4.66296
2021-Feb-01 23:27:57.593	81000	175351	338542	9585.2	10625.7	-1.42839	0.723434	-0.69347	0.687556	4.60565
2021-Feb-01 23:37:57.593	81600	189188	330990	9170.34	10592.8	-1.41133	0.76311	-0.689325	0.689638	4.54163
2021-Feb-01 23:47:57.593	82200	202692	322862	8758.09	10560.2	-1.39281	0.802067	-0.684777	0.691697	4.47098
2021-Feb-01 23:57:57.593	82800	215838	314173	8348.69	10528.1	-1.37285	0.840245	-0.679826	0.69373	4.39379
2021-Feb-02 00:07:57.593	83400	223325	308825	7942.38	10496.4	-1.36637	0.854205	-0.674472	0.695733	4.31019
2021-Feb-02 00:17:57.593	84000	235853	299274	7539.41	10465.3	-1.34424	0.891031	-0.668718	0.697703	4.22029
2021-Feb-02 00:27:57.593	84600	247964	289205	7140	10434.8	-1.32073	0.92692	-0.662566	0.699637	4.12422
2021-Feb-02 00:37:57.593	85200	259637	278635	6744.41	10405	-1.29585	0.961816	-0.656022	0.701531	4.02214
2021-Feb-02 00:47:57.593	85800	270851	267584	6352.85	10375.8	-1.26966	0.995659	-0.64909	0.703381	3.91419
2021-Feb-02 00:57:57.593	86400	281586	256071	5965.57	10347.4	-1.24217	1.02839	-0.641776	0.705185	3.80054
2021-Feb-02 01:07:57.593	87000	291823	244118	5582.8	10319.7	-1.21342	1.05995	-0.634088	0.706939	3.68137
2021-Feb-02 01:17:57.593	87600	301544	231745	5204.74	10292.9	-1.18345	1.09029	-0.626035	0.70864	3.55687
2021-Feb-02 01:27:57.593	88200	310731	218975	4831.63	10267	-1.15229	1.11936	-0.617626	0.710285	3.42722
2021-Feb-02 01:37:57.593	88800	319369	205831	4463.66	10242	-1.12	1.14709	-0.608872	0.711871	3.29265
2021-Feb-02 01:47:57.593	89400	327443	192337	4101.05	10217.9	-1.0866	1.17343	-0.599786	0.713395	3.15335
2021-Feb-02 01:57:57.593	90000	334937	178516	3743.98	10194.9	-1.05216	1.19834	-0.59038	0.714854	3.00955
2021-Feb-02 02:07:57.593	90600	341840	164394	3392.65	10172.9	-1.01671	1.22176	-0.580671	0.716245	2.8615
2021-Feb-02 02:17:57.593	91200	348138	149996	3047.23	10152	-0.980319	1.24365	-0.570672	0.717567	2.70942
2021-Feb-02 02:27:57.593	91800	353821	135348	2707.9	10132.2	-0.94303	1.26397	-0.560402	0.718815	2.55356
2021-Feb-02 02:37:57.593	92400	358879	120476	2374.8	10113.6	-0.904903	1.28266	-0.549878	0.719988	2.39417
2021-Feb-02 02:47:57.593	93000	363304	105407	2048.09	10096.1	-0.865999	1.2997	-0.539119	0.721084	2.23153
2021-Feb-02 02:57:57.593	93600	367087	90166.8	1727.9	10079.9	-0.826379	1.31503	-0.528146	0.722101	2.06588
2021-Feb-02 03:07:57.593	94200	370222	74784	1414.35	10064.9	-0.786109	1.32863	-0.51698	0.723037	1.8975
2021-Feb-02 03:17:57.593	94800	372704	59285.5	1107.56	10051.2	-0.745254	1.34046	-0.505643	0.72389	1.72667
2021-Feb-02 03:27:57.593	95400	374528	43699.1	807.612	10038.7	-0.703886	1.3505	-0.494158	0.724658	1.55366
2021-Feb-02 03:37:57.593	96000	375693	28052.7	514.595	10027.6	-0.662074	1.35872	-0.482547	0.725342	1.37875
2021-Feb-02 03:47:57.593	96600	376195	12374	228.575	10017.8	-0.619893	1.36509	-0.470837	0.725938	1.20222
2021-Feb-02 03:57:57.593	97200	376034	-3308.85	-50.3941	10009.3	-0.577418	1.3696	-0.45905	0.726448	1.02435
2021-Feb-02 04:07:57.593	97800	375212	-18968	-322.275	10002.2	-0.534727	1.37223	-0.447214	0.726869	0.845436
2021-Feb-02 04:17:57.593	98400	373729	-34575.6	-587.046	9996.47	-0.491898	1.37297	-0.435352	0.727201	0.665748
2021-Feb-02 04:27:57.593	99000	371589	-50103.8	-844.698	9992.09	-0.449011	1.37182	-0.423492	0.727445	0.48557
2021-Feb-02 04:37:57.593	99600	368796	-65525.1	-1095.24	9989.07	-0.406147	1.36877	-0.411658	0.727599	0.305182
2021-Feb-02 04:47:57.593	100200	365354	-80811.9	-1338.7	9987.44	-0.36339	1.36382	-0.399878	0.727664	0.124858
2021-Feb-02 04:57:57.593	100800	361271	-95937.3	-1575.11	9987.17	-0.320822	1.35698	-0.388176	0.727641	0.055107
2021-Feb-02 05:07:57.593	101400	356554	-110874	-1804.53	9988.27	-0.278526	1.34826	-0.376578	0.72753	0.234488
2021-Feb-02 05:17:57.593	102000	351211	-125596	-2027.03	9990.74	-0.236586	1.33768	-0.36511	0.727331	0.412988
2021-Feb-02 05:27:57.593	102600	345253	-140077	-2242.69	9994.56	-0.195086	1.32525	-0.353797	0.727046	0.590353
2021-Feb-02 05:37:57.593	103200	338690	-154291	-2451.62	9999.73	-0.154109	1.311	-0.342662	0.726675	0.766331
2021-Feb-02 05:47:57.593	103800	331534	-168214	-2653.93	10006.2	-0.113738	1.29496	-0.331729	0.72622	0.940674
2021-Feb-02 05:57:57.593	104400	323798	-181820	-2849.74	10014	-0.0740543	1.27716	-0.321021	0.725682	1.11314
2021-Feb-02 06:07:57.593	105000	315496	-195085	-3039.2	10023.1	-0.0351383	1.25764	-0.31056	0.725062	1.2835
2021-Feb-02 06:17:57.593	105600	306644	-207986	-3222.47	10033.5	0.00293063	1.23644	-0.300367	0.724363	1.45152
2021-Feb-02 06:27:57.593	106200	297256	-220500	-3399.7	10045.1	0.0400751	1.21361	-0.290462	0.723586	1.61698
2021-Feb-02 06:37:57.593	106800	287350	-232605	-3571.08	10058	0.0762198	1.18919	-0.280864	0.722732	1.77968
2021-Feb-02 06:47:57.593	107400	276944	-244279	-3736.8	10072.1	0.111292	1.16325	-0.271591	0.721805	1.9394
2021-Feb-02 06:57:57.593	108000	266056	-255502	-3897.06	10087.3	0.14522	1.13583	-0.262659	0.720806	2.09596
2021-Feb-02 07:07:57.593	108600	254706	-266254	-4052.07	10103.7	0.177936	1.10701	-0.254085	0.719738	2.24917
2021-Feb-02 07:17:57.593	109200	242914	-276517	-4202.04	10121.2	0.209377	1.07684	-0.245881	0.718602	2.39884
2021-Feb-02 07:27:57.593	109800	230701	-286271	-4347.2	10139.8	0.239479	1.04539	-0.238061	0.717402	2.54482
2021-Feb-02 07:37:57.593	110400	218090	-295499	-4487.79	10159.4	0.268184	1.01275	-0.230637	0.716139	2.68693
2021-Feb-02 07:47:57.593	111000	205102	-304186	-4624.04	10180	0.295439	0.978967	-0.223618	0.714816	2.82502
2021-Feb-02 07:57:57.593	111600	191762	-312316	-4756.21	10201.7	0.32119	0.944134	-0.217014	0.713436	2.95895
2021-Feb-02 08:07:57.593	112200	178092	-319875	-4884.55	10224.2	0.345392	0.908326	-0.210833	0.712002	3.08857
2021-Feb-02 08:17:57.593	112800	164117	-326848	-5009.3	10247.7	0.368	0.871622	-0.205081	0.710515	3.21376
2021-Feb-02 08:27:57.593	113400	149863	-333225	-5130.73	10272	0.388976	0.834107	-0.199763	0.708979	3.3344
2021-Feb-02 08:37:57.593	114000	135354	-338993	-5249.1	10297.2	0.408284	0.795862	-0.194882	0.707397	3.45037
2021-Feb-02 08:47:57.593	114600	120617	-344143	-5364.68	10323.1	0.425893	0.756974	-0.190443	0.70577	3.56155
2021-Feb-02 08:57:57.593	115200	105677	-348666	-5477.72	10349.8	0.441776	0.717529	-0.186446	0.704102	3.66786
2021-Feb-02 09:07:57.593	115800	90562.5	-352552	-5588.5	10377.1	0.455911	0.677612	-0.182892	0.702396	3.76918
2021-Feb-02 09:17:57.593	116400	75299	-355797	-5697.28	10405.2	0.46828	0.637312	-0.17978	0.700653	3.86544
2021-Feb-02 09:27:57.593	117000	59914.4	-358393	-5804.33	10433.8	0.478868	0.596716	-0.177109	0.698877	3.95656
2021-Feb-02 09:37:57.593	117600	44435.9	-360337	-5909.9	10463	0.487666	0.555911	-0.174876	0.697071	4.04244
2021-Feb-02 09:47:57.593	118200	28891.3	-361624	-6014.26	10492.7	0.494669	0.514984	-0.173078	0.695236	4.12304
2021-Feb-02 09:57:57.593	118800	13308.3	-362253	-6117.68	10523	0.499874	0.474021	-0.17171	0.693376	4.19827
2021-Feb-02 10:07:57.593	119400	-2285.2	-362223	-6220.4	10553.6	0.503286	0.433109	-0.170767	0.691494	4.26807
2021-Feb-02 10:17:57.593	120000	-17861.4	-361533	-6322.68	10584.7	0.50491	0.392332	-0.170244	0.689591	4.33241
2021-Feb-02 10:27:57.593	120600	-33392.5	-360185	-6424.78	10616.1	0.504757	0.351775	-0.170134	0.68767	4.39121
2021-Feb-02 10:37:57.593	121200	-48850.7	-358182	-6526.92	10647.9	0.502842	0.311519	-0.170429	0.685734	4.44444
2021-Feb-02 10:47:57.593	121800	-64208.3	-355527	-6629.37	10679.9	0.499184	0.271646	-0.171122	0.683785	4.49206
2021-Feb-02 10:57:57.593	122400	-79438	-352224	-6732.35	10712.1	0.493803	0.232235	-0.172206	0.681825	4.53403
2021-Feb-02 11:07:57.593	123000	-94512.4	-348280	-6836.09	10744.6	0.486727	0.193364	-0.17367	0.679858	4.57032
2021-Feb-02 11:17:57.593	123600	-109405	-343701	-6940.83	10777.1	0.477982	0.155109	-0.175506	0.677884	4.6009
2021-Feb-02 11:27:57.593	124200	-124088	-338497	-7046.77	10809.8	0.467602	0.117543	-0.177704	0.675908	4.62575
2021-Feb-02 11:37:57.593	124800	-138536	-332676	-7154.14	10842.5	0.455621	0.0807376	-0.180255	0.67393	4.64484
2021-Feb-02 11:47:57.593	125400	-152723	-326248	-7263.15	10875.3	0.442078	0.044762	-0.183149	0.671954	4.65817
2021-Feb-02 11:57:57.593	126000	-166623	-319225	-7373.99	10908	0.427013	0.00968298	-0.186374	0.66998	4.66573
